2019-08-09 09:08:47,004 [Thread-14:139709098149632] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `resource_resource`.`id`, `resource_resource`.`name`, `resource_resource`.`category_id`, `resource_resource`.`link`, `resource_resource`.`add_time` FROM `resource_resource` ORDER BY `resource_resource`.`add_time` DESC; args=()
2019-08-09 09:09:13,918 [Thread-17:139709089756928] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2019-08-09 09:09:13,918 [Thread-17:139709089756928] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT COUNT(*) AS `__count` FROM `blog_zan`; args=()
2019-08-09 09:09:13,925 [Thread-17:139709089756928] [django.db.backends:89] [utils:execute] [DEBUG]- (0.005) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'sq5r7z0f4otgms0xg29k1hd5s8v1ou22' AND `django_session`.`expire_date` > '2019-08-09 09:09:13.919032'); args=('sq5r7z0f4otgms0xg29k1hd5s8v1ou22', u'2019-08-09 09:09:13.919032')
2019-08-09 09:09:13,930 [Thread-17:139709089756928] [django.db.backends:89] [utils:execute] [DEBUG]- (0.003) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1; args=(1,)
2019-08-09 09:09:13,950 [Thread-17:139709089756928] [django.db.backends:89] [utils:execute] [DEBUG]- (0.003) SELECT `resource_resource`.`id`, `resource_resource`.`name`, `resource_resource`.`category_id`, `resource_resource`.`link`, `resource_resource`.`add_time` FROM `resource_resource` ORDER BY `resource_resource`.`add_time` DESC; args=()
2019-08-09 09:09:44,791 [Thread-20:139709098149632] [django.db.backends:89] [utils:execute] [DEBUG]- (0.003) SET SQL_AUTO_IS_NULL = 0; args=None
2019-08-09 09:09:44,792 [Thread-20:139709098149632] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT COUNT(*) AS `__count` FROM `blog_zan`; args=()
2019-08-09 09:09:44,794 [Thread-20:139709098149632] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'sq5r7z0f4otgms0xg29k1hd5s8v1ou22' AND `django_session`.`expire_date` > '2019-08-09 09:09:44.792774'); args=('sq5r7z0f4otgms0xg29k1hd5s8v1ou22', u'2019-08-09 09:09:44.792774')
2019-08-09 09:09:44,802 [Thread-20:139709098149632] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1; args=(1,)
2019-08-09 09:09:44,804 [Thread-20:139709098149632] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `resource_resource`.`id`, `resource_resource`.`name`, `resource_resource`.`category_id`, `resource_resource`.`link`, `resource_resource`.`add_time` FROM `resource_resource` ORDER BY `resource_resource`.`add_time` DESC; args=()
